indiv	ft16
6945	53
8376	134
6016	101
6961	47
6971	57
7323	59
7306	50.25
7346	43
6911	53
8233	79
8249	98
8247	93
7525	41
7517	160
6932	36
8369	67
8365	33
8422	172
6064	201
8236	44
6904	77
8283	84
8241	66
8242	100
6973	35
8222	98
7000	66.75
7014	90
6917	222
8284	72
8214	48
6931	37
6951	50
8258	63
6009	151
6008	41
6923	42
6922	31
6944	37
8420	41
6968	126
6967	32
7418	38.25
7424	30
7514	51
6926	45
6956	67
8239	37
7163	39
8354	45
6981	27
6943	37
8306	49
6918	135
6046	150
6043	174
6929	56
6963	66
6976	67
7064	47.5
7062	38.6667
7296	54
8312	41
8311	51
8256	41
6908	49
6970	45
6909	32
8334	52
8351	112
6898	26
8297	104
6969	122
7523	60
7477	43
7461	51
7515	62
6984	40
6960	31
8230	163
8231	116
8240	122
6919	46
8387	49
8237	43
6040	92
6042	35
6901	169
6982	34
7033	91
6974	151
6897	58
6913	252
7231	33.5
7255	35.5
7094	37
7282	29
6975	44
7521	52
6933	52
6915	48
8259	51
8264	68
5837	50
7147	50.25
9058	128
9057	60
8243	69
6907	57
7520	42
8335	129
7081	48
8337	74
8343	45
8326	58
8424	51
8426	31
6959	48
6940	32
6074	97
6243	41
6966	58
7460	34.75
6979	28
6920	98
7516	167
6927	61
6958	31
6924	40
8235	71
8285	51
8290	41
6903	52
6900	171
